1,2,3,4,5,6,7,8,loc_id
2020,6558,603,9,65,"6,058 (92%)",500 (8%),,11000028
2019,6325,,12,65,,,,11000028
2018,6475,,10,65,,,,11000028
2017,58452,,,,,,,11000028
2016,5788,,10,65,,,,11000028
2015,5395,,9,65,,,,11000028
2014,5002,,10,65,,,,11000028
2013,4990,,9,65,,,,11000028
2012,5147,,10,65,,,,11000028
2011,5066,,9,65,,,,11000028
2010,5171,,10,65,,,,11000028
2009,5195,,10,65,,,,11000028
2008,5507,,10,65,,,,11000028
2007,5381,,9,65,,,,11000028
2006,6198,,12,65,,,,11000028
2005,5277,,9,65,,,,11000028
2004,57192,,,,,,,11000028
2003,5926,,12,65,,,,11000028
2002,5416,,,,,,,11000028
2001,5791,,,,,,,11000028
2000,4921,,,,,,,11000028
1999,5163,,,,,,,11000028
1998,4501,,,,,,,11000028
1997,4231,,,,,,,11000028
1996,4550,,,,,,,11000028
1995,4645,,,,,,,11000028
1994,4353,,,,,,,11000028
1993,4405,,,,,,,11000028
1992,3547,,,,,,,11000028
1991,3878,,,,,,,11000028
1990,4310,,,,,,,11000028
1989,3690,,,,,,,11000028
1988,3611,,,,,,,11000028
1987,3809,,,,,,,11000028
1986,3106,,,,,,,11000028
1985,3092,,,,,,,11000028
2020,4633,468,10,65,"4,400 (95%)",233 (5%),,11000029
2019,4397,,13,65,,,,11000029
2018,4145,,10,65,,,,11000029
2017,3958,,10,65,,,,11000029
2016,36622,,,,,,,11000029
2015,3639,,11,65,,,,11000029
2014,3334,,9,65,,,,11000029
2013,3259,,9,65,,,,11000029
2012,3736,,10,65,,,,11000029
2011,3120,,9,65,,,,11000029
2010,3038,,10,65,,,,11000029
2009,3412,,10,65,,,,11000029
2008,3416,,9,65,,,,11000029
2007,3617,,9,65,,,,11000029
2006,3442,,9,65,,,,11000029
2005,3592,,9,65,,,,11000029
2004,3715,,10,65,,,,11000029
2003,3567,,9,65,,,,11000029
2002,3497,,,,,,,11000029
2001,3864,,,,,,,11000029
2000,3182,,,,,,,11000029
1999,3374,,,,,,,11000029
1998,3606,,,,,,,11000029
1997,3577,,,,,,,11000029
1996,2416,,,,,,,11000029
1995,3208,,,,,,,11000029
1994,1938,,,,,,,11000029
1993,2879,,,,,,,11000029
1992,2641,,,,,,,11000029
1991,2517,,,,,,,11000029
1990,2950,,,,,,,11000029
1989,3192,,,,,,,11000029
1988,2971,,,,,,,11000029
1987,3080,,,,,,,11000029
1986,2580,,,,,,,11000029
1985,2167,,,,,,,11000029
2020,2089,181,9,65,"1,984 (95%)",105 (5%),,11000030
2019,2008,,12,65,,,,11000030
2018,1953,,10,65,,,,11000030
2017,19322,,,,,,,11000030
2016,1913,,10,65,,,,11000030
2015,1780,,9,65,,,,11000030
2014,1685,,9,65,,,,11000030
2013,2065,,9,65,,,,11000030
2012,1787,,10,65,,,,11000030
2011,1777,,9,65,,,,11000030
2010,1857,,10,65,,,,11000030
2009,1780,,,,,,,11000030
2008,1876,,10,65,,,,11000030
2007,1956,,10,65,,,,11000030
2006,1877,,11,65,,,,11000030
2005,20652,,,,,,,11000030
2004,20082,,,,,,,11000030
2003,1892,,9,65,,,,11000030
2002,1788,,,,,,,11000030
2001,16012,,,,,,,11000030
2000,2024,,,,,,,11000030
1999,1836,,,,,,,11000030
1998,1631,,,,,,,11000030
1997,1599,,,,,,,11000030
1996,1609,,,,,,,11000030
1995,1614,,,,,,,11000030
1994,1593,,,,,,,11000030
1993,1116,,,,,,,11000030
1992,1428,,,,,,,11000030
1991,1267,,,,,,,11000030
1990,1332,,,,,,,11000030
1989,1145,,,,,,,11000030
1988,10502,,,,,,,11000030
1987,1117,,,,,,,11000030
1986,865,,,,,,,11000030
1985,869,,,,,,,11000030
