1,2,3,4,5,6,7,8,loc_id
2020,3888,301,78,100,,,,11000006R
2019,2724,,12,100,,,,11000006R
2018,2918,,12,100,,,,11000006R
2017,3522,,13,100,,,,11000006R
2016,4099,,14,100,,,,11000006R
2015,2719,,13,100,,,,11000006R
2014,2530,,13,100,,,,11000006R
2013,2677,,14,100,,,,11000006R
2012,2598,,13,100,,,,11000006R
2011,3063,,13,100,,,,11000006R
2010,2582,,14,100,,,,11000006R
2009,980,,13,100,,,,11000006R
2008,2617,,13,100,,,,11000006R
2007,2781,,13,100,,,,11000006R
2020,9186,1014,11,65,"8,727 (95%)",459 (5%),,11000007
2019,9140,,13,65,,,,11000007
2018,9580,,,,"9,350 (98%)",229 (2%),,11000007
2017,7620,,10,65,,,,11000007
2016,57492,,,,,,,11000007
2015,5727,,11,65,,,,11000007
2014,5670,,,,"5,604 (99%)",65 (1%),,11000007
2013,5827,,11,65,,,,11000007
2012,5252,,11,65,,,,11000007
2011,5602,,10,65,,,,11000007
2010,5804,,11,65,,,,11000007
2009,5750,,,,,,,11000007
2008,5937,,10,65,,,,11000007
2007,5816,,10,65,,,,11000007
2006,5830,,10,65,,,,11000007
2005,5965,,10,65,,,,11000007
2004,63472,,,,,,,11000007
2003,6654,,10,65,,,,11000007
2002,6054,,,,,,,11000007
2001,5503,,,,,,,11000007
2000,5632,,,,,,,11000007
1999,6023,,,,,,,11000007
1998,5115,,,,,,,11000007
1997,5282,,,,,,,11000007
1996,4768,,,,,,,11000007
1995,4214,,,,,,,11000007
1994,4223,,,,,,,11000007
1993,3797,,,,,,,11000007
1992,3445,,,,,,,11000007
1991,3923,,,,,,,11000007
1990,4114,,,,,,,11000007
1989,3846,,,,,,,11000007
1988,3630,,,,,,,11000007
1987,3424,,,,,,,11000007
1986,3166,,,,,,,11000007
1985,3037,,,,,,,11000007
2020,5858,540,92,100,,,,11000007R
2019,2909,,11,100,,,,11000007R
2018,3141,,11,100,,,,11000007R
2017,3181,,12,100,,,,11000007R
2016,2837,,12,100,,,,11000007R
2015,2958,,12,100,,,,11000007R
2014,2571,,13,100,,,,11000007R
2013,2644,,12,100,,,,11000007R
2012,2663,,13,100,,,,11000007R
2011,2933,,13,100,,,,11000007R
2010,2514,,13,100,,,,11000007R
2009,1015,,13,100,,,,11000007R
2008,2678,,14,100,,,,11000007R
2007,2720,,14,100,,,,11000007R
2020,12239,1227,10,65,"11,309 (92%)",930 (8%),,11000008
2019,11021,,12,65,,,,11000008
2018,9879,,10,65,,,,11000008
2017,74372,,,,,,,11000008
2016,7364,,9,65,,,,11000008
2015,8951,,9,65,,,,11000008
2014,9092,,9,59,,,,11000008
2013,8939,,9,65,,,,11000008
2012,8298,,9,65,,,,11000008
2011,9816,,8,65,,,,11000008
2010,7902,,9,65,,,,11000008
2009,8862,,11,65,,,,11000008
2008,9159,,9,65,,,,11000008
2007,10175,,10,65,,,,11000008
2006,9556,,11,65,,,,11000008
2005,8874,,9,65,,,,11000008
2004,90362,,,,,,,11000008
2003,8858,,10,65,,,,11000008
2002,7379,,,,,,,11000008
2001,7711,,,,,,,11000008
2000,8436,,,,,,,11000008
1999,8344,,,,,,,11000008
1998,7966,,,,,,,11000008
1997,7808,,,,,,,11000008
1996,6780,,,,,,,11000008
1995,7344,,,,,,,11000008
1994,6100,,,,,,,11000008
1993,6064,,,,,,,11000008
1992,5655,,,,,,,11000008
1991,5564,,,,,,,11000008
1990,6430,,,,,,,11000008
1989,5393,,,,,,,11000008
1988,5036,,,,,,,11000008
1987,4660,,,,,,,11000008
1986,4188,,,,,,,11000008
1985,3706,,,,,,,11000008
2020,27818,256,9,100,,,,11000008R
2019,2169,,13,100,,,,11000008R
2018,2859,,14,100,,,,11000008R
2017,1567,,13,100,,,,11000008R
2016,1630,,12,100,,,,11000008R
2015,1674,,13,100,,,,11000008R
2014,1265,,13,100,,,,11000008R
2013,1225,,13,100,,,,11000008R
2012,1019,,11,100,,,,11000008R
2011,1265,,10,100,,,,11000008R
2010,1029,,13,100,,,,11000008R
2009,2620,,13,100,,,,11000008R
2008,984,,12,100,,,,11000008R
2007,1107,,11,100,,,,11000008R
2020,3350,595,18,65,"3,230 (96%)",120 (4%),,11000009
2019,3643,,16,65,,,,11000009
2018,2775,,12,65,,,,11000009
2017,2084,,11,65,,,,11000009
2016,28142,,,,,,,11000009
2015,2741,,14,65,,,,11000009
2014,2463,,11,65,,,,11000009
2013,40132,,,,,,,11000009
2012,1953,,11,65,,,,11000009
2011,3093,,10,65,,,,11000009
2010,4303,,9,65,,,,11000009
2009,4289,,13,65,,,,11000009
2008,3969,,14,65,,,,11000009
2007,3763,,14,65,,,,11000009
2006,3941,,14,65,,,,11000009
2005,3077,,10,65,,,,11000009
2004,31212,,,,,,,11000009
2003,4798,,14,65,,,,11000009
2002,24592,,,,,,,11000009
2001,2497,,,,,,,11000009
2000,24002,,,,,,,11000009
1999,2351,,,,,,,11000009
1998,22302,,,,,,,11000009
1997,2217,,,,,,,11000009
1996,1755,,,,,,,11000009
1995,1748,,,,,,,11000009
1994,1500,,,,,,,11000009
1993,1568,,,,,,,11000009
1992,1495,,,,,,,11000009
1991,1522,,,,,,,11000009
1990,1579,,,,,,,11000009
1989,1617,,,,,,,11000009
1988,1594,,,,,,,11000009
1987,1292,,,,,,,11000009
1986,1198,,,,,,,11000009
1985,858,,,,,,,11000009
2020,1129,112,10,65,"1,089 (96%)",40 (4%),,11000010
2019,1210,,12,65,,,,11000010
2018,1233,,9,65,,,,11000010
2017,11292,,,,,,,11000010
2016,11182,,,,,,,11000010
2015,11402,,,,,,,11000010
2014,1107,,11,65,,,,11000010
2013,1096,,10,65,,,,11000010
2012,1052,,9,65,,,,11000010
2011,1141,,9,65,,,,11000010
2010,1299,,9,65,,,,11000010
2009,1090,,,,,,,11000010
2008,1521,,9,65,,,,11000010
2007,1174,,10,65,,,,11000010
2006,1419,,11,65,,,,11000010
2005,1216,,9,65,,,,11000010
2004,1313,,10,65,,,,11000010
2003,14032,,,,,,,11000010
2002,13532,,,,,,,11000010
2001,13032,,,,,,,11000010
2000,1169,,,,,,,11000010
1999,1141,,,,,,,11000010
1998,1172,,,,,,,11000010
1997,10502,,,,,,,11000010
1996,1043,,,,,,,11000010
1995,1232,,,,,,,11000010
1994,973,,,,,,,11000010
1993,911,,,,,,,11000010
1992,842,,,,,,,11000010
1991,663,,,,,,,11000010
1990,793,,,,,,,11000010
1989,859,,,,,,,11000010
1988,776,,,,,,,11000010
1987,536,,,,,,,11000010
1986,448,,,,,,,11000010
1985,428,,,,,,,11000010
2020,413,43,10,65,400 (97%),13 (3%),,11000012
2019,492,,14,65,,,,11000012
2018,444,,12,65,,,,11000012
2017,3542,,,,,,,11000012
2016,3512,,,,,,,11000012
2015,373,,11,65,,,,11000012
2014,337,,11,65,,,,11000012
2013,323,,11,65,,,,11000012
2012,334,,13,65,,,,11000012
2011,359,,11,65,,,,11000012
2010,338,,13,65,,,,11000012
2009,392,,12,65,,,,11000012
2008,371,,11,65,,,,11000012
2007,441,,11,65,,,,11000012
2006,408,,11,65,,,,11000012
2005,437,,12,65,,,,11000012
2004,4912,,,,,,,11000012
2003,4762,,,,,,,11000012
2002,4622,,,,,,,11000012
2001,448,,,,,,,11000012
2000,465,,,,,,,11000012
1999,4092,,,,,,,11000012
1998,405,,,,,,,11000012
1997,3702,,,,,,,11000012
1996,359,,,,,,,11000012
1995,363,,,,,,,11000012
1994,280,,,,,,,11000012
1993,429,,,,,,,11000012
1992,310,,,,,,,11000012
1991,324,,,,,,,11000012
1990,277,,,,,,,11000012
1989,279,,,,,,,11000012
1988,253,,,,,,,11000012
1987,275,,,,,,,11000012
1986,225,,,,,,,11000012
1985,210,,,,,,,11000012
2020,757,79,10,65,729 (96%),28 (4%),,11000013
2019,884,,12,65,,,,11000013
2018,848,,12,65,,,,11000013
2017,751,,11,65,,,,11000013
2016,8522,,,,,,,11000013
2015,829,,11,65,,,,11000013
2014,610,,10,65,,,,11000013
2013,710,,9,65,,,,11000013
2012,692,,10,65,,,,11000013
2011,699,,10,65,,,,11000013
2010,709,,11,65,,,,11000013
2009,785,,13,65,,,,11000013
2008,737,,9,65,,,,11000013
2007,744,,12,65,,,,11000013
2006,719,,11,65,,,,11000013
2005,714,,9,65,,,,11000013
2004,7372,,,,,,,11000013
2003,716,,12,65,,,,11000013
2002,9252,,,,,,,11000013
2001,733,,,,,,,11000013
2000,9222,,,,,,,11000013
1999,8802,,,,,,,11000013
1998,860,,,,,,,11000013
1997,854,,,,,,,11000013
1996,775,,,,,,,11000013
1995,450,,,,,,,11000013
1994,344,,,,,,,11000013
1993,460,,,,,,,11000013
1992,520,,,,,,,11000013
1991,516,,,,,,,11000013
1990,435,,,,,,,11000013
1989,476,,,,,,,11000013
1988,457,,,,,,,11000013
1987,339,,,,,,,11000013
1986,268,,,,,,,11000013
1985,296,,,,,,,11000013
2020,687,80,12,65,662 (96%),25 (4%),,11000015
2019,740,,12,65,,,,11000015
2018,647,,11,65,,,,11000015
2017,642,,11,65,,,,11000015
2016,8572,,,,,,,11000015
2015,787,,11,65,,,,11000015
2014,840,,9,65,,,,11000015
2013,788,,11,65,,,,11000015
2012,527,,13,65,,,,11000015
2011,544,,12,65,,,,11000015
2010,790,,,,,,,11000015
2009,582,,12,65,,,,11000015
2008,565,,10,65,,,,11000015
2007,533,,11,65,,,,11000015
2006,543,,11,65,,,,11000015
2005,619,,12,65,,,,11000015
2004,6672,,,,,,,11000015
2003,669,,10,65,,,,11000015
2002,6952,,,,,,,11000015
2001,675,,,,,,,11000015
2000,6552,,,,,,,11000015
1999,621,,,,,,,11000015
1998,5402,,,,,,,11000015
1997,530,,,,,,,11000015
1996,578,,,,,,,11000015
1995,527,,,,,,,11000015
1994,410,,,,,,,11000015
1993,415,,,,,,,11000015
1992,485,,,,,,,11000015
1991,444,,,,,,,11000015
1990,454,,,,,,,11000015
1989,445,,,,,,,11000015
1988,466,,,,,,,11000015
1987,415,,,,,,,11000015
1986,584,,,,,,,11000015
1985,411,,,,,,,11000015
